SMILES,pIC50
COc1ccc(C(=O)CCc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-],5.89
C=CC[N+](C)(C)c1cccc(O)c1.[Br-],5.52
COc1cccc(C[N+](C)(C)Cc2ccccc2)c1.[Br-],5.0
COc1cccc([N+](C)(C)Cc2ccccc2)c1.[Br-],5.0
C=CC[N+](C)(C)c1cccc(OC(C)=O)c1.[Br-],6.0
COc1cccc(C[N+](C)(C)C)c1.[Br-],5.0
COc1ccccc1[N+](C)(C)Cc1ccccc1.[Br-],5.0
C=CC[N+](C)(C)c1ccc(OCC(=O)c2ccc(OC)c(OC)c2)cc1.[Br-],5.0
COc1ccc(C(=O)CCc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC.[Br-],5.98
C=C(C)C[N+](C)(C)c1ccccc1O.[Br-],5.0
C=CC[N+](C)(C)c1ccc(OC)cc1.[Br-],5.0
CC(=O)Oc1ccccc1[N+](C)(C)Cc1ccccc1.[Br-],5.0
C=CC[N+](C)(C)c1ccccc1O.[Br-],5.73
COc1ccc(C(=O)COc2cccc([N+](C)(C)C)c2)cc1OC.[Br-],5.0
COc1ccc(C(=O)COc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC.[Br-],6.48
C=CC[N+](C)(C)Cc1cccc(OC)c1.[Br-],5.0
C[N+](C)(Cc1ccccc1)Cc1cccc(O)c1.[Br-],5.0
COc1ccc(C(=O)COc2ccc([N+](C)(C)C)cc2)cc1OC.[Br-],5.0
C=C(C)C[N+](C)(C)c1ccccc1OC.[Br-],5.0
C=C(C)C[N+](C)(C)c1cccc(OC)c1.[Br-],5.0
C[N+](C)(Cc1ccccc1)c1ccc(O)cc1.[Br-],5.0
CC(=O)Oc1cccc([N+](C)(C)Cc2ccccc2)c1.[Br-],5.0
CC[N+](C)(C)c1cccc(O)c1.[Br-],5.4
C=CC[N+](C)(C)c1ccc(O)cc1.[Br-],5.0
C=CC[N+](C)(C)c1ccccc1OC.[Br-],6.0
C=C(C)C[N+](C)(C)c1cccc(O)c1.[Br-],5.0
COc1ccc(C(=O)CCc2cccc([N+](C)(C)C)c2)cc1OC.[Br-],5.0
C[N+](C)(Cc1ccccc1)c1cccc(O)c1.[Br-],5.0
C=C(C)C[N+](C)(C)c1ccc(O)cc1.[Br-],5.0
C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,4.0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN[C@@H]1N2C,7.64
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCc3ccccc3)[C@@H]1N2C,6.82
COc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,6.64
CCCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.82
CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,4.0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)[C@@H]1N2C,6.72
C=CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3N(C)[C@@H]12,7.49
CN1CC[C@@]2(C)c3cc(OC(=O)NC(C)(C)C)ccc3N(C)[C@@H]12,4.49
CN(C)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,6.51
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,7.44
COc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1,4.15
O=C1CCN(Cc2ccccc2)C/C1=C\c1cccn1C(=O)c1ccccc1,4.52
O=C1/C(=C/c2ccc[nH]2)CN(Cc2ccccc2)C/C1=C\c1ccc[nH]1,4.74
N#Cc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1,4.7
O=C1/C(=C/c2cc[nH]c2)CN(Cc2ccccc2)C/C1=C\c1cc[nH]c1,5.22
O=C1CCN(Cc2ccccc2)C/C1=C\c1c[nH]c2ccc(OCc3ccccc3)cc12,4.6
O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc(Cl)cc2)c2ccccc12,4.3
O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccccc12,4.3
CN1CCC(C2Cc3ccccc3C2=O)CC1,5.48
CN1CCC(CCCC2Cc3ccccc3C2=O)CC1,8.82
COc1ccc2[nH]cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c2c1,5.22
O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc(F)cc2)c2ccccc12,4.22
COc1ccc2c(c1)c(/C=C1\CN(Cc3ccccc3)CCC1=O)cn2C(=O)c1ccccc1,4.1
CC(C)(C)OC(=O)n1cc(/C=C2\CN(Cc3ccccc3)CCC2=O)c2ccccc21,4.52
CN1CCN(CC2Cc3ccccc3C2=O)CC1,7.03
CC(=O)n1cc(/C=C2\CN(Cc3ccccc3)CCC2=O)c2ccccc21,4.96
CC1CCN(Cc2cccc3ccccc23)CC1,6.66
CN1CCC(C[C@@H]2Cc3ccccc3C2=O)CC1,8.28
CN1CCC(CC2=Cc3ccccc3C2)CC1,5.36
CN1CCC(CC/C=C2\Cc3ccccc3C2=O)CC1,9.09
CC1CCN(Cc2ccccc2)CC1,8.28
O=C1CCN(Cc2ccccc2)C/C1=C\c1ccc[nH]1,4.96
O=C1CCN(Cc2ccccc2)C/C1=C\c1ccn(C(=O)c2ccccc2)c1,4.52
CC1CCN(C(=O)c2ccccc2)CC1,5.0
O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccccc2)c2ccccc12,4.15
CN1CCC(/C=C/C=C2\Cc3ccccc3C2=O)CC1,8.52
CC1CCN(Cc2ccccc2[N+](=O)[O-])CC1,6.8
Cc1[nH]c(C)c(/C=C2\CN(Cc3ccccc3)CCC2=O)c1C=O,4.52
Cc1ccccc1CN1CCC(C)CC1,8.0
CC1CCN(CC2CCCCC2)CC1,8.05
CC1CCN(CC2Cc3ccccc3C2=O)CC1,6.32
CC1CCN(CCc2ccccc2)CC1,6.74
CN1CCC(C[C@H]2Cc3ccccc3C2=O)CC1,8.11
O=C1CCN(Cc2ccccc2)C/C1=C\c1c[nH]c2ccccc12,5.1
CN1CCC(=C2Cc3ccccc3C2=O)CC1,5.92
